Date,TimeStamp,GravityX,GravityY,GravityZ,UserAccelerationX,UserAccelerationY,UserAccelerationZ,RotationRateX,RotationRateY,RotationRateZ,AttitudeRoll,AttitudePitch,AttitudeYaw
2024-10-15 11:30:48.910,65800.286,0.142,0.007,-0.99,0.02,0.016,0.007,0.023,-0.028,0.04,0.143,-0.007,1.489
2024-10-15 11:30:48.920,65800.296,0.142,0.007,-0.99,-0.004,0.006,0.009,-0.085,0.012,0.068,0.143,-0.007,1.489
2024-10-15 11:30:48.923,65800.306,0.142,0.008,-0.99,-0.014,-0.018,0.007,-0.161,0.033,0.083,0.143,-0.008,1.49
2024-10-15 11:30:48.926,65800.316,0.143,0.01,-0.99,-0.015,-0.035,0.001,-0.179,0.044,0.095,0.143,-0.01,1.491
2024-10-15 11:30:48.937,65800.326,0.143,0.012,-0.99,-0.009,-0.02,0.005,-0.18,0.058,0.097,0.144,-0.012,1.493
2024-10-15 11:30:48.946,65800.336,0.144,0.013,-0.99,-0.006,-0.003,0.009,-0.167,0.059,0.089,0.144,-0.013,1.494
2024-10-15 11:30:48.957,65800.346,0.144,0.015,-0.989,-0.007,0.004,0.01,-0.146,0.057,0.075,0.145,-0.015,1.495
2024-10-15 11:30:48.966,65800.356,0.145,0.016,-0.989,-0.001,0.013,0.007,-0.094,0.046,0.048,0.145,-0.016,1.496
2024-10-15 11:30:48.977,65800.366,0.145,0.017,-0.989,0.004,0.019,0.009,-0.028,0.018,-0.01,0.146,-0.017,1.496
2024-10-15 11:30:48.987,65800.376,0.145,0.016,-0.989,0.01,0.02,0.009,0.131,-0.071,0.03,0.146,-0.016,1.496
2024-10-15 11:30:48.997,65800.386,0.144,0.015,-0.989,0.016,0.02,0.012,0.161,-0.108,0.068,0.145,-0.015,1.496
2024-10-15 11:30:49.008,65800.396,0.143,0.013,-0.99,0.015,0.034,0.017,0.114,-0.096,0.131,0.143,-0.013,1.497
2024-10-15 11:30:49.017,65800.406,0.142,0.012,-0.99,-0.001,0.02,0.014,-0.013,-0.012,0.09,0.143,-0.012,1.498
2024-10-15 11:30:49.028,65800.416,0.143,0.012,-0.99,-0.019,-0.031,0.004,-0.056,0.04,-0.008,0.143,-0.012,1.498
2024-10-15 11:30:49.037,65800.426,0.143,0.013,-0.99,-0.022,-0.062,-0.002,-0.025,0.01,0.005,0.143,-0.013,1.498
2024-10-15 11:30:49.047,65800.436,0.143,0.013,-0.99,-0.001,-0.048,0.003,0.018,-0.002,0.001,0.143,-0.013,1.499
2024-10-15 11:30:49.059,65800.446,0.143,0.013,-0.99,0.012,0.005,0.009,0.019,0.002,-0.008,0.143,-0.013,1.498
2024-10-15 11:30:49.067,65800.456,0.143,0.013,-0.99,-0.003,0.014,0.01,0.003,0.006,0.004,0.143,-0.013,1.498
